,snapshot_date,user_id,total_asset_value
0,2024-03-31,user_0000,528141.87
1,2024-04-30,user_0000,654241.53
2,2024-05-31,user_0000,454530.94
3,2022-01-31,user_0001,55494132.67
4,2022-02-28,user_0001,62581273.79
5,2022-03-31,user_0001,51135379.82
6,2022-04-30,user_0001,62749093.67
7,2022-05-31,user_0001,70755406.87
8,2022-06-30,user_0001,53711772.28
9,2022-07-31,user_0001,58211417.28
10,2022-08-31,user_0001,48001270.2
11,2022-09-30,user_0001,57563913.69
12,2022-10-31,user_0001,56900398.62
13,2022-11-30,user_0001,60653915.21
14,2022-12-31,user_0001,53371382.71
15,2023-01-31,user_0001,55071388.85
16,2023-02-28,user_0001,61722621.39
17,2023-03-31,user_0001,68783831.08
18,2023-04-30,user_0001,52861207.0
19,2023-05-31,user_0001,63320414.14
20,2023-06-30,user_0001,59688454.79
21,2023-07-31,user_0001,49772849.28
22,2023-08-31,user_0001,60671085.95
23,2023-09-30,user_0001,64061818.92
24,2023-10-31,user_0001,61447275.67
25,2023-11-30,user_0001,49768238.85
26,2023-12-31,user_0001,67508291.32
27,2024-01-31,user_0001,48268612.61
28,2024-02-29,user_0001,52880281.13
29,2024-03-31,user_0001,61860095.41
30,2024-04-30,user_0001,52454779.34
31,2024-05-31,user_0001,49706384.34
32,2022-11-30,user_0002,9956602.16
33,2022-12-31,user_0002,8816632.17
34,2023-01-31,user_0002,9868832.42
35,2023-02-28,user_0002,10462006.44
36,2023-03-31,user_0002,10820933.78
37,2023-04-30,user_0002,8167513.5
38,2023-05-31,user_0002,9528346.66
39,2023-06-30,user_0002,8290428.93
40,2023-07-31,user_0002,10499545.23
41,2023-08-31,user_0002,10570382.97
42,2023-09-30,user_0002,8492624.74
43,2023-10-31,user_0002,9674569.62
44,2023-11-30,user_0002,10560828.52
45,2023-12-31,user_0002,9173606.73
46,2024-01-31,user_0002,9949326.12
47,2024-02-29,user_0002,10243310.25
48,2024-03-31,user_0002,10503120.44
49,2024-04-30,user_0002,9198636.49
50,2024-05-31,user_0002,10758862.68
51,2023-08-31,user_0003,1783681.52
52,2023-09-30,user_0003,2165604.48
53,2023-10-31,user_0003,1905327.33
54,2023-11-30,user_0003,1966347.82
55,2023-12-31,user_0003,2328413.19
56,2024-01-31,user_0003,2464766.0
57,2024-02-29,user_0003,2378974.71
58,2024-03-31,user_0003,1927982.43
59,2024-04-30,user_0003,2033968.41
60,2024-05-31,user_0003,2473180.11
61,2022-08-31,user_0004,3344694.08
62,2022-09-30,user_0004,2733457.93
63,2022-10-31,user_0004,3146519.32
64,2022-11-30,user_0004,3225901.26
65,2022-12-31,user_0004,2296793.01
66,2023-01-31,user_0004,2546019.58
67,2023-02-28,user_0004,3239683.25
68,2023-03-31,user_0004,2683825.95
69,2023-04-30,user_0004,2560102.27
70,2023-05-31,user_0004,2553439.08
71,2023-06-30,user_0004,2668840.85
72,2023-07-31,user_0004,2521161.53
73,2023-08-31,user_0004,2250840.55
74,2023-09-30,user_0004,2440977.74
75,2023-10-31,user_0004,3238662.1
76,2023-11-30,user_0004,2332055.3
77,2023-12-31,user_0004,2711082.31
78,2024-01-31,user_0004,2759939.97
79,2024-02-29,user_0004,3121341.77
80,2024-03-31,user_0004,2530854.41
81,2024-04-30,user_0004,2594953.88
82,2024-05-31,user_0004,2263101.24
83,2022-12-31,user_0005,2961714.41
84,2023-01-31,user_0005,2495536.1
85,2023-02-28,user_0005,3184439.88
86,2023-03-31,user_0005,2301145.93
87,2023-04-30,user_0005,2611939.24
88,2023-05-31,user_0005,2827213.85
89,2023-06-30,user_0005,2763154.97
90,2023-07-31,user_0005,2927913.32
91,2023-08-31,user_0005,2533858.15
92,2023-09-30,user_0005,3041432.0
93,2023-10-31,user_0005,2652799.69
94,2023-11-30,user_0005,2343842.81
95,2023-12-31,user_0005,3022198.61
96,2024-01-31,user_0005,3211379.87
97,2024-02-29,user_0005,2607559.7
98,2024-03-31,user_0005,2855948.42
99,2024-04-30,user_0005,2964215.18
100,2024-05-31,user_0005,3122690.83
101,2024-02-29,user_0006,1022834.7
102,2024-03-31,user_0006,1090646.84
103,2024-04-30,user_0006,875237.94
104,2024-05-31,user_0006,984031.57
105,2023-10-31,user_0007,9735938.91
106,2023-11-30,user_0007,9523211.52
107,2023-12-31,user_0007,7653137.63
108,2024-01-31,user_0007,7656656.33
109,2024-02-29,user_0007,9338212.53
110,2024-03-31,user_0007,9393961.41
111,2024-04-30,user_0007,7471312.62
112,2024-05-31,user_0007,8267788.12
113,2022-03-31,user_0008,10737504.72
114,2022-04-30,user_0008,12258079.68
115,2022-05-31,user_0008,13655616.89
116,2022-06-30,user_0008,14309061.25
117,2022-07-31,user_0008,13697529.91
118,2022-08-31,user_0008,12380078.35
119,2022-09-30,user_0008,15449538.29
120,2022-10-31,user_0008,10541860.92
121,2022-11-30,user_0008,12882171.2
122,2022-12-31,user_0008,12961171.44
123,2023-01-31,user_0008,11565610.0
124,2023-02-28,user_0008,13212397.82
125,2023-03-31,user_0008,11463710.74
126,2023-04-30,user_0008,12617047.23
127,2023-05-31,user_0008,12556230.24
128,2023-06-30,user_0008,14319572.3
129,2023-07-31,user_0008,15194662.13
130,2023-08-31,user_0008,11374822.04
131,2023-09-30,user_0008,15447298.2
132,2023-10-31,user_0008,15182912.51
133,2023-11-30,user_0008,10909107.62
134,2023-12-31,user_0008,15038584.9
135,2024-01-31,user_0008,13242711.41
136,2024-02-29,user_0008,14866067.6
137,2024-03-31,user_0008,15210376.98
138,2024-04-30,user_0008,14762539.52
139,2024-05-31,user_0008,12407739.33
140,2023-12-31,user_0009,10491157.15
141,2024-01-31,user_0009,10072653.32
142,2024-02-29,user_0009,9580021.14
143,2024-03-31,user_0009,10392142.1
144,2024-04-30,user_0009,11943462.73
145,2024-05-31,user_0009,12105423.7
146,2023-04-30,user_0010,2652546.73
147,2023-05-31,user_0010,3069174.94
148,2023-06-30,user_0010,3119410.89
149,2023-07-31,user_0010,2537574.94
150,2023-08-31,user_0010,2740862.32
151,2023-09-30,user_0010,2712346.37
152,2023-10-31,user_0010,3457700.25
153,2023-11-30,user_0010,3425818.7
154,2023-12-31,user_0010,3267622.8
155,2024-01-31,user_0010,2863557.68
156,2024-02-29,user_0010,2621807.66
157,2024-03-31,user_0010,3376702.69
158,2024-04-30,user_0010,2626407.01
159,2024-05-31,user_0010,2920423.93
160,2023-01-31,user_0011,42585452.03
161,2023-02-28,user_0011,29263478.35
162,2023-03-31,user_0011,31163794.34
163,2023-04-30,user_0011,39629973.57
164,2023-05-31,user_0011,30835515.92
165,2023-06-30,user_0011,42701425.34
166,2023-07-31,user_0011,33270702.59
167,2023-08-31,user_0011,41831396.18
168,2023-09-30,user_0011,38157012.62
169,2023-10-31,user_0011,37753398.74
170,2023-11-30,user_0011,41784475.82
171,2023-12-31,user_0011,36021489.99
172,2024-01-31,user_0011,34409068.94
173,2024-02-29,user_0011,31784002.23
174,2024-03-31,user_0011,30736491.6
175,2024-04-30,user_0011,40012930.96
176,2024-05-31,user_0011,30498603.2
177,2023-12-31,user_0012,7447574.04
178,2024-01-31,user_0012,8236724.96
179,2024-02-29,user_0012,7043536.01
180,2024-03-31,user_0012,8773772.42
181,2024-04-30,user_0012,6823960.99
182,2024-05-31,user_0012,8622051.31
183,2022-07-31,user_0013,2302311.5
184,2022-08-31,user_0013,2949210.05
185,2022-09-30,user_0013,2848773.62
186,2022-10-31,user_0013,3017404.58
